[17/Jan 12:05:11] DEBUG : org.jbox2d.testbed.framework.j2d.TestPanelJ2D - dbImage is null, creating a new one
[17/Jan 12:05:11] DEBUG : org.reflections.Reflections - going to scan these urls:
	file:/afs/inf.ed.ac.uk/user/s10/s1039116/workspace/SDP/UoE-SDP-2013-Group-6/bin/

[17/Jan 12:05:12] INFO : org.reflections.Reflections - Reflections took 544 ms to scan 1 urls, producing 79 keys and 278 values 
[17/Jan 12:05:12] DEBUG : balle.strategy.StrategyFactory - ---------------------- getRunnableStrategies
[17/Jan 12:05:12] DEBUG : balle.strategy.StrategyFactory - Found 19 runnable strategies
[17/Jan 12:05:12] INFO : balle.strategy.StrategyRunner - StrategyRunner initialised
[17/Jan 12:05:27] INFO : balle.strategy.Game - Starting game strategy with initial strategy turned on
[17/Jan 12:05:27] INFO : balle.strategy.StrategyRunner - Started balle.strategy.friendly1.Game
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:27] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:28] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:29] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.SimpleGoToBallFaceGoal
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBall
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBall
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBall
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBall
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Defending
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
[17/Jan 12:05:30] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.Dribble
[17/Jan 12:05:30] INFO : balle.strategy.friendly1.Game - Kicking the ball
